D1 in kg/s^2;m in g;l in mm
3,113(+-0,049);20;63(+-1)
3,138(+-0,025);40;125(+-1)
3,181(+-0,017);60;185(+-1)
3,176(+-0,013);80;247(+-1)
3,205(+-0,010);100;306(+-1)
