D2 in kg/s^2;m in g;T in s
21,99(+-0,12);80;0,379(+-0,002)
22,49(+-0,05);100;0,419(+-0,001)
22,29(+-0,05);120;0,461(+-0,001)
22,56(+-0,05);140;0,495(+-0,001)
22,74(+-0,04);160;0,527(+-0,001)
