m in g;l in mm;n;t1 in s;t2 in s;t3 in s;t4 in s;t5 in s;m in s;s in s;s(m) in s
80;35(+-1);50;18,85;18,83;19,28;18,86;18,88;18,94;0,170762994;0,076367532
100;45(+-1);50;20,85;20,91;20,97;21;21,02;20,95;0,062289646;0,027856777
120;56(+-1);50;23,01;22,95;23,15;23,04;23,03;23,036;0,064992307;0,029065443
140;63(+-1);50;24,78;24,65;24,75;24,87;24,59;24,728;0,098468269;0,044036349
160;72(+-1);50;26,28;26,18;26,34;26,59;26,35;26,348;0,135262707;0,060491322
