g in m/s^2;l in mm;T in s;;;;;;;;;;
9,54(+-0,34);300(+-10);1,114(+-0,002);;10;11,12;11,16;11,18;11,07;11,14;11,134;0,037735925;0,016876018
9,79(+-0,14);800(+-10);1,796(+-0,004);;10;17,84;17,95;18,1;17,96;17,86;17,942;0,092173749;0,041221354
9,76(+-0,11);1200(+-10);2,203(+-0,006);;10;22,13;21,78;22,09;22,03;22,12;22,03;0,129769026;0,058034473
9,92(+-0,09);1500(+-10);2,443(+-0,007);;10;24,5;24,62;24,18;24,31;24,53;24,428;0,159924982;0,071520626
9,93(+-0,04);2787(+-10);3,329(+-0,002);;10;33,3;33,21;33,38;33,28;33,27;33,288;0,054918121;0,02456013
