D1 in kg/s^2;m in g;T in s
2,821(+-0,016);20;0,529(+-0,003)
3,106(+-0,009);40;0,713(+-0,002)
3,248(+-0,008);60;0,854(+-0,002)
3,282(+-0,003);80;0,981(+-0,001)
3,372(+-0,003);100;1,082(+-0,001)
